text,label
What's the best way to stay focused while studying?,query
How do I fix a leaky faucet?,query
What's your favorite type of investment?,chat
Check the weather forecast.,query
What's your favorite type of fitness activity?,chat
Do you enjoy DIY plumbing repairs?,chat
Order a pizza.,query
How do I care for a newborn baby?,query
What are the rules of a particular sport?,query
Tell me a funny joke.,chat
How was your weekend?,chat
Lock the screen.,query
What's your favorite type of food?,chat
How do I fix a broken chair?,query
Do you enjoy cooking?,chat
What's your favorite holiday destination?,chat
What's the best way to de-stress after work?,query
Do you like to cook?,chat
How do I clean a dirty oven?,query
How do you do?,chat
How do I grow tomatoes in my backyard?,query
What's up?,chat
Do you enjoy watching movies?,chat
Look up the details of a scientific experiment.,query
How old are you?,chat
Order a book online.,query
Close the window.,query
Clear my browsing history.,query
What's your favorite type of exercise?,chat
Look up the lyrics of a song in a different language.,query
What's your favorite type of movie genre?,chat
How do I create a budget for a painting project?,query
What are the symptoms of the common cold?,query
How do I install a ceiling fan?,query
What's your favorite food?,chat
What's your favorite hobby?,chat
What is the tallest mountain in the world?,query
How do I make homemade soap?,query
How do I create a resume?,query
Do you enjoy parenting?,chat
What's your favorite type of cuisine?,chat
How do I plan a backpacking trip?,query
How do I paint a room like a pro?,query
Create a new folder.,query
What's your favorite color?,chat
What's your favorite type of music?,chat
Look up a recipe for chocolate chip cookies.,query
How do I create a budget for a home gym?,query
What's the best time to go to the beach?,query
Find the nutritional value of a specific food item.,query
What's your favorite type of cuisine?,chat
What's your favorite type of cuisine?,chat
Do you like to shop?,chat
How do I create a budget for a family vacation?,query
What's your favorite holiday destination?,chat
How do I create a budget for a fitness challenge?,query
What's your favorite TV show?,chat
Search for the history of the Great Wall of China.,query
Do you like to exercise?,chat
Search for the latest sports scores.,query
Find information about a famous landmark.,query
How do I organize my closet?,query
How do I start a blog?,query
How do I fix a broken bicycle chain?,query
How do I create a budget for education expenses?,query
What's your favorite outdoor activity?,chat
Tell me a joke.,chat
What's your favorite holiday?,chat
How do I cook a perfect steak?,query
How do I create a skincare routine?,query
What's your name?,chat
How do I repair a leaky roof?,query
What's your favorite hobby?,chat
How do I make homemade candles?,query
What's the weather like today?,query
Do you like to read books?,chat
Tell me about yourself.,chat
Do you enjoy hiking?,chat
What's your favorite outdoor activity?,chat
What's the best way to treat a sunburn?,query
What are you doing?,chat
What do you do for fun?,chat
How do I care for a pet fish?,query
What's the best way to pack for a weekend trip?,query
How do I create a budget for a language learning course?,query
What's the best way to prepare for a marathon?,query
Turn off the lights.,query
What time does the movie start?,query
What's your favorite type of beauty product?,chat
Do you have any pets?,chat
How do I train a puppy?,query
Search for the biography of a famous person.,query
Do you enjoy listening to music?,chat
How do I install a security camera?,query
Tell me about the latest technology news.,query
What's your favorite type of cuisine?,chat
Did you watch any movies recently?,chat
How was your weekend?,chat
How do I create a budget for a road trip?,query
Find the release date of a movie.,query
What's the recipe for chocolate cake?,query
What did you have for breakfast?,chat
Look up the weather forecast for tomorrow.,query
What's your favorite type of adventure activity?,chat
What's the best way to save money for a vacation?,query
Tell me about your favorite color.,chat
Good morning!,chat
What's your opinion on a current event?,chat
How do I change a car battery?,query
What's your favorite type of steak?,chat
What's your favorite type of home decor?,chat
How do I clean a dirty microwave?,query
What's the best way to stay motivated to exercise?,query
Do you like to travel?,chat
What's your favorite season?,chat
Rename a file.,query
How do I bake cookies from scratch?,query
What's your favorite TV show?,chat
What's the fastest way to get to the nearest hospital?,query
Find a nearby hotel.,query
What is the capital of Australia?,query
Do you enjoy using technology?,chat
What's your favorite TV show?,chat
What's your favorite color?,chat
What's your favorite social media platform?,chat
Tell me about your favorite book.,chat
How can I fix a broken zipper?,query
What's your favorite animal?,chat
Delete all files in the trash.,query
How do I create a budget for saving money?,query
How do I fix a broken door handle?,query
How do I bake a perfect chocolate cake?,query
Do you like to read?,chat
What's your favorite type of vacation destination?,chat
Check stock prices.,query
What's your favorite type of pet?,chat
How do I tie a bowtie?,query
